Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
Djibouti,DJI,"Population, total",SP.POP.TOTL,1972,166256.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1972,1309235.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1972,29374608.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1972,12206060.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1972,4220335.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1972,3939436.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1972,3542497.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1972,14479308.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1972,10885796.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1973,3611991.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1973,178449.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1973,1342669.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1973,30166785.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1973,12634835.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1973,4345047.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1973,4045592.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1973,3627383.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1973,15010101.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1973,11144236.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1974,3703590.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1974,192613.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1974,1375688.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1974,30957273.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1974,13070078.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1974,4474228.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1974,4151842.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1974,3723259.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1974,15561630.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1974,11424846.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1975,3796612.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1975,209908.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1975,1408210.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1975,31723252.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1975,13511671.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1975,4607728.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1975,4257535.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1975,3821494.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1975,16138361.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1975,11725240.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1976,3882626.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1976,230737.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1976,1443807.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1976,32534418.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1976,13957623.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1976,4745954.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1976,4365812.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1976,3921910.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1976,16736211.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1976,12037294.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1977,3983582.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1977,254613.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1977,1482565.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1977,33167272.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1977,14428819.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1977,4888240.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1977,4484050.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1977,4024032.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1977,17352929.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1977,12359669.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1978,4100338.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1978,280031.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1978,1522378.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1978,33734592.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1978,14934126.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1978,5035171.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1978,4814892.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1978,4127657.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1978,17976566.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1978,12692113.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1979,4203530.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1979,304513.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1979,1563332.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1979,34238652.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1979,15460666.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1979,5189541.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1979,5449117.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1979,4232605.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1979,18592038.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1979,13002163.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1980,4383706.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1980,325815.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1980,1605797.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1980,34428514.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1980,16018459.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1980,5353259.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1980,5936154.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1980,4339030.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1980,19189769.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1980,13275741.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1981,4566014.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1981,343047.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1981,1649939.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1981,35304012.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1981,16601507.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1981,5527230.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1981,5982849.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1981,4447272.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1981,19784703.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1981,13556452.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1982,4681390.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1982,356880.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1982,1695461.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1982,36701290.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1982,17206175.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1982,5711549.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1982,6003840.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1982,4557686.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1982,20398571.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1982,13873631.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1983,4808528.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1983,369553.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1983,1736160.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1983,37740817.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1983,17846374.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1983,5905311.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1983,6198430.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1983,4661574.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1983,21079874.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1983,14221881.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1984,4926465.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1984,384053.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1984,1771730.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1984,38735722.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1984,18514906.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1984,6107627.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1984,6428389.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1984,4750627.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1984,21779066.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1984,14607677.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1985,5034042.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1985,402687.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1985,1807816.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1985,39842136.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1985,19201768.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1985,6317228.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1985,6693289.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1985,4834296.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1985,22501693.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1985,15023681.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1986,5129414.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1986,426341.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1986,1845164.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1986,41037656.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1986,19901646.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1986,6531881.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1986,6974788.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1986,4921240.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1986,23258959.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1986,15467579.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1987,5247787.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1987,454399.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1987,1888669.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1987,42460039.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1987,20616096.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1987,6749493.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1987,7228302.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1987,4962395.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1987,24030378.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1987,15954170.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1988,5365327.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1988,484523.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1988,1938255.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1988,44150825.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1988,21356219.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1988,6968071.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1988,7235360.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1988,4848029.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1988,24769686.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1988,16470483.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1989,5471706.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1989,523355.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1989,1987017.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1989,45879690.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1989,22118434.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1989,7184706.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1989,7114817.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1989,4713229.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1989,25438759.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1989,17010698.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1990,5587052.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1990,579538.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1990,2032737.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1990,47609755.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1990,22892651.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1990,7375307.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1990,7082811.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1990,4737633.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1990,26110207.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1990,17569897.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1991,5703857.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1991,631092.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1991,1919571.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1991,49717198.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1991,23646514.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1991,7526966.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1991,6813760.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1991,4836677.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1991,26780436.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1991,18155901.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1992,5858407.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1992,626010.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1992,1798748.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1992,51853747.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1992,24382460.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1992,7683266.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1992,6495107.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1992,4909749.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1992,27457588.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1992,18785032.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1993,5676843.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1993,614245.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1993,1856006.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1993,53708891.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1993,25117188.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1993,7981132.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1993,6681399.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1993,4956002.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1993,28332692.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1993,19445161.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1994,5713854.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1994,626710.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1994,1913915.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1994,55611508.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1994,25857130.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1994,6792352.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1994,7026797.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1994,5071184.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1994,29442356.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1994,20108801.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1995,6066316.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1995,633074.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1995,2025267.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1995,57537335.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1995,26601751.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1995,5674118.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1995,7285007.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1995,5225836.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1995,30383497.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1995,20665667.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1996,6070506.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1996,648348.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1996,2128464.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1996,59467635.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1996,27344211.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1996,6708764.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1996,7554474.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1996,5356925.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1996,30945762.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1996,21231550.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1997,6070042.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1997,671817.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1997,2152135.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1997,61404539.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1997,28101768.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1997,7755238.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1997,7824525.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1997,5509136.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1997,31578089.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1997,21856046.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1998,6187108.0
Djibouti,DJI,"Population, total",SP.POP.TOTL,1998,699352.0
Eritrea,ERI,"Population, total",SP.POP.TOTL,1998,2180419.0
Ethiopia,ETH,"Population, total",SP.POP.TOTL,1998,63363524.0
Kenya,KEN,"Population, total",SP.POP.TOTL,1998,28888057.0
Rwanda,RWA,"Population, total",SP.POP.TOTL,1998,8081681.0
Somalia,SOM,"Population, total",SP.POP.TOTL,1998,8155417.0
South Sudan,SSD,"Population, total",SP.POP.TOTL,1998,5620068.0
Tanzania,TZA,"Population, total",SP.POP.TOTL,1998,32420458.0
Uganda,UGA,"Population, total",SP.POP.TOTL,1998,22515806.0
Burundi,BDI,"Population, total",SP.POP.TOTL,1999,6337155.0
